scene,views,expname,psnr,ssim,lpips,train_time_seconds,ckpt
fern,2,fern_2v_light,1.591903782073107188e+01,3.364602625370025635e-01,4.944831132888793945e-01,439.42,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\fern_2v_light\fern_2v_light.th
fern,3,fern_3v_light,1.856623928671038115e+01,4.543154239654541016e-01,4.553204774856567383e-01,354.77,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\fern_3v_light\fern_3v_light.th
fern,4,fern_4v_light,1.810742730302959913e+01,4.406587183475494385e-01,4.562951922416687012e-01,530.55,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\fern_4v_light\fern_4v_light.th
leaves,2,leaves_2v_light,1.096864967287872261e+01,8.213584870100021362e-02,5.299603343009948730e-01,400.9,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\leaves_2v_light\leaves_2v_light.th
fern,2,fern_2v_light,1.591903782073107188e+01,3.364602625370025635e-01,4.944831132888793945e-01,609.7,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\fern_2v_light\fern_2v_light.th
fern,3,fern_3v_light,1.835903880969603108e+01,4.505258500576019287e-01,4.539305567741394043e-01,539.65,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\fern_3v_light\fern_3v_light.th
fern,4,fern_4v_light,1.810742730302959913e+01,4.406587183475494385e-01,4.562951922416687012e-01,579.04,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\fern_4v_light\fern_4v_light.th
leaves,2,leaves_2v_light,1.097043113165012684e+01,8.429370075464248657e-02,5.188426375389099121e-01,435.25,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\leaves_2v_light\leaves_2v_light.th
leaves,3,leaves_3v_light,1.224330020256340923e+01,1.490401625633239746e-01,4.584891498088836670e-01,431.69,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\leaves_3v_light\leaves_3v_light.th
leaves,4,leaves_4v_light,1.434069615257869756e+01,3.035570085048675537e-01,3.933774232864379883e-01,444.76,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\leaves_4v_light\leaves_4v_light.th
room,2,room_2v_light,1.361287360561888526e+01,3.899601995944976807e-01,6.209397315979003906e-01,523.53,C:\Users\haiho\desktop\Mon_DH\FrugalNerf\log\room_2v_light\room_2v_light.th
