iter,total_loss,loss_hr,loss_mr,loss_lr,depth_loss,psnr,ssim,lpips,prop_hr,prop_mr,prop_lr,throughput_rays_per_s,gpu_mem_mb,iter_time_s,lr,img_W,img_H,focal
0,nan,0.29547351598739624,0.29547351598739624,0.29547351598739624,nan,5.294814399129694,nan,nan,0.0,0.0,0.0,78.9621064449704,16.7451171875,9.7261843,0.02,1060,707,500.0
1,nan,0.26266729831695557,0.26266729831695557,0.26266729831695557,nan,5.805939928573718,nan,nan,0.0,0.0,0.0,2357.776641187431,24.23583984375,0.3257306000000142,0.019544744419116213,1060,707,500.0
2,nan,0.2906001806259155,0.2906001806259155,0.2906001806259155,nan,5.586490564772543,nan,nan,0.0,0.0,0.0,2567.2748010278174,24.23583984375,0.2991499000000033,0.019099851720428718,1060,707,500.0
3,nan,0.28465592861175537,0.28465592861175537,0.28465592861175537,nan,5.5432595984511766,nan,nan,0.0,0.0,0.0,2662.730817676744,24.23583984375,0.2884257000000048,0.01866508601593982,1060,707,500.0
4,nan,0.26550865173339844,0.26550865173339844,0.26550865173339844,nan,5.597248005456105,nan,nan,0.0,0.0,0.0,2735.7617493486177,24.23583984375,0.2807262000000037,0.018240216787118194,1060,707,500.0
5,nan,0.3022739887237549,0.3022739887237549,0.3022739887237549,nan,5.516996850596561,nan,nan,0.0,0.0,0.0,1736.7043186273313,33.79345703125,0.44221690000000535,0.01782501876267491,1060,707,500.0
6,nan,0.2944355607032776,0.2944355607032776,0.2944355607032776,nan,5.482513606970978,nan,nan,0.0,0.0,0.0,2780.9471804708214,32.6201171875,0.2761648999999977,0.017419271799121613,1060,707,500.0
7,nan,0.2708841562271118,0.2708841562271118,0.2708841562271118,nan,5.509606514148284,nan,nan,0.0,0.0,0.0,2803.6840700733896,32.53369140625,0.2739252999999735,0.017022760764047528,1060,707,500.0
8,nan,0.27664995193481445,0.27664995193481445,0.27664995193481445,nan,5.518492451009975,nan,nan,0.0,0.0,0.0,2698.2360281963206,32.53369140625,0.28463040000002593,0.016635275422053418,1060,707,500.0
9,nan,0.26423344016075134,0.26444217562675476,0.26444217562675476,nan,5.547562424169446,nan,nan,0.0,0.0,0.0,2471.953944407984,37.4306640625,0.3106854000000112,0.016256610323281982,1060,707,500.0
10,nan,0.27620768547058105,0.27620768547058105,0.27620768547058105,nan,5.551570423110805,nan,nan,0.0,0.0,0.0,2521.2989022830334,32.6201171875,0.30460489999998686,0.015886564694485628,1060,707,500.0
11,nan,0.27613723278045654,0.27613723278045654,0.27613723278045654,nan,5.5887503160443766,nan,nan,0.0,0.0,0.0,2714.4561756706653,32.53369140625,0.28292959999998857,0.015524942332573831,1060,707,500.0
12,nan,0.26215091347694397,0.26215091347694397,0.26215091347694397,nan,5.701618281164572,nan,nan,0.0,0.0,0.0,2694.738733150177,32.53369140625,0.28499979999998004,0.015171551500583672,1060,707,500.0
13,nan,0.28537285327911377,0.28537285327911377,0.28537285327911377,nan,5.616369995693499,nan,nan,0.0,0.0,0.0,2645.8343955716,32.53369140625,0.29026759999999285,0.014826204826018347,1060,707,500.0
14,nan,0.27453702688217163,0.27453696727752686,0.2745443284511566,nan,5.615775181397151,nan,nan,0.0,0.0,0.0,2496.0154752960743,37.61376953125,0.30769039999998427,0.014488719201499797,1060,707,500.0
15,nan,0.28836262226104736,0.28836262226104736,0.28836262226104736,nan,5.572742212757957,nan,nan,0.0,0.0,0.0,2699.4148807355423,32.6201171875,0.2845060999999873,0.014158915687682754,1060,707,500.0
16,nan,0.27532854676246643,0.27532854676246643,0.27532854676246643,nan,5.577533106495147,nan,nan,0.0,0.0,0.0,2387.9275338617376,37.44873046875,0.3216177999999843,0.013836619418378725,1060,707,500.0
17,nan,0.2845035791397095,0.2845035791397095,0.2845035791397095,nan,5.560617327968257,nan,nan,0.0,0.0,0.0,2790.026527049045,32.6201171875,0.27526620000000435,0.013521659507839632,1060,707,500.0
